************************************************************
BITZER Software v7.1.4 rev6
(c) 2026, BITZER, Germany. All data subject to change.
Monday 9. March 2026 9:14:18 PM
************************************************************

Compressor Selection: Semi-hermetic Reciprocating Compressors
------------------------------------------------------------
Input Values:

Compressor model;;;4FESP-5Z
Mode;;;Refrigeration and air conditioning
Refrigerant;;;R290
Reference temperature;;;Dew point temp.
Evaporating SST;;;7,00 °C
Condensing SDT;;;40,0 °C
Liq. subc. (in condenser);;;0 K
Suct. gas superheat;;;10,00 K
Operating mode;;;Auto
Power supply;;;400V-3-50Hz
Useful superheat;;;100%

------------------------------------------------------------
Result

Compressor;;;4FESP-5Z-40S;;;
Compressor frequency;;;40,0 Hz;;
Cooling capacity;;;12,69; kW;
Cooling capacity *;;;12,73; kW;
Evaporator capacity;;;12,69; kW;
Power input;;;2,79; kW;
Current (320V);;;6,69; A;
Condenser capacity;;;15,47; kW;
COP/EER;;;4,55;;
COP/EER *;;;4,57;;
Mass flow;;;155,7; kg/h;
min. cooling capacity;;;7,58 kW (25 Hz);;
max. cooling capacity;;;22,3 kW (70 Hz);;
Discharge gas temp. w/o cooling;;;63,2; °C;
;;;;;

------------------------------------------------------------
Tentative Data.
Compressor available with individual agreement with BITZER.
Consider national standards for the use of flammable refrigerants.
Power consumption at compressor inlet.
------------------------------------------------------------

