************************************************************
BITZER Software v7.1.4 rev6
(c) 2026, BITZER, Germany. All data subject to change.
Monday 9. March 2026 9:14:39 PM
************************************************************

Compressor Selection: Semi-hermetic Reciprocating Compressors
------------------------------------------------------------
Input Values:

Compressor model;;;4FESP-5Z
Mode;;;Refrigeration and air conditioning
Refrigerant;;;R290
Reference temperature;;;Dew point temp.
Evaporating SST;;;7,00 °C
Condensing SDT;;;40,0 °C
Liq. subc. (in condenser);;;0 K
Suct. gas superheat;;;10,00 K
Operating mode;;;Auto
Power supply;;;400V-3-50Hz
Useful superheat;;;100%

------------------------------------------------------------
Result

Compressor;;;4FESP-5Z-40S;;;
Compressor frequency;;;60,0 Hz;;
Cooling capacity;;;19,24; kW;
Cooling capacity *;;;19,31; kW;
Evaporator capacity;;;19,24; kW;
Power input;;;4,40; kW;
Current (400V);;;7,46; A;
Condenser capacity;;;23,6; kW;
COP/EER;;;4,38;;
COP/EER *;;;4,39;;
Mass flow;;;236; kg/h;
min. cooling capacity;;;7,58 kW (25 Hz);;
max. cooling capacity;;;22,3 kW (70 Hz);;
Discharge gas temp. w/o cooling;;;64,4; °C;
;;;;;

------------------------------------------------------------
Tentative Data.
Compressor available with individual agreement with BITZER.
Consider national standards for the use of flammable refrigerants.
Power consumption at compressor inlet.
------------------------------------------------------------

