************************************************************
BITZER Software v7.1.4 rev6
(c) 2026, BITZER, Germany. All data subject to change.
Monday 9. March 2026 9:13:51 PM
************************************************************

Compressor Selection: Semi-hermetic Reciprocating Compressors
------------------------------------------------------------
Input Values:

Compressor model;;;4FESP-5Z
Mode;;;Refrigeration and air conditioning
Refrigerant;;;R290
Reference temperature;;;Dew point temp.
Evaporating SST;;;7,00 °C
Condensing SDT;;;40,0 °C
Liq. subc. (in condenser);;;0 K
Suct. gas superheat;;;10,00 K
Operating mode;;;Auto
Power supply;;;400V-3-50Hz
Useful superheat;;;100%

------------------------------------------------------------
Result

Compressor;;;4FESP-5Z-40S;;;
Compressor frequency;;;30,0 Hz;;
Cooling capacity;;;9,27; kW;
Cooling capacity *;;;9,31; kW;
Evaporator capacity;;;9,27; kW;
Power input;;;1,98; kW;
Current (240V);;;6,40; A;
Condenser capacity;;;11,25; kW;
COP/EER;;;4,69;;
COP/EER *;;;4,70;;
Mass flow;;;113,9; kg/h;
min. cooling capacity;;;7,58 kW (25 Hz);;
max. cooling capacity;;;22,3 kW (70 Hz);;
Discharge gas temp. w/o cooling;;;62,3; °C;
;;;;;

------------------------------------------------------------
Tentative Data.
Compressor available with individual agreement with BITZER.
Consider national standards for the use of flammable refrigerants.
Power consumption at compressor inlet.
------------------------------------------------------------

