************************************************************
BITZER Software v7.1.4 rev6
(c) 2026, BITZER, Germany. All data subject to change.
Monday 9. March 2026 9:11:10 PM
************************************************************

Compressor Selection: Semi-hermetic Reciprocating Compressors
------------------------------------------------------------
Input Values:

Compressor model;;;4FESP-5Z
Mode;;;Refrigeration and air conditioning
Refrigerant;;;R290
Reference temperature;;;Dew point temp.
Evaporating SST;;;7,00 °C
Condensing SDT;;;50,0 °C
Liq. subc. (in condenser);;;0 K
Suct. gas superheat;;;10,00 K
Operating mode;;;Auto
Power supply;;;400V-3-50Hz
Useful superheat;;;100%

------------------------------------------------------------
Result

Compressor;;;4FESP-5Z-40S;;;
Compressor frequency;;;60,0 Hz;;
Cooling capacity;;;16,62; kW;
Cooling capacity *;;;16,71; kW;
Evaporator capacity;;;16,62; kW;
Power input;;;5,33; kW;
Current (400V);;;8,69; A;
Condenser capacity;;;21,9; kW;
COP/EER;;;3,12;;
COP/EER *;;;3,14;;
Mass flow;;;227; kg/h;
min. cooling capacity;;;6,55 kW (25 Hz);;
max. cooling capacity;;;18,72 kW (68 Hz);;
Discharge gas temp. w/o cooling;;;77,1; °C;
;;;;;

------------------------------------------------------------
Tentative Data.
Compressor available with individual agreement with BITZER.
Consider national standards for the use of flammable refrigerants.
Power consumption at compressor inlet.
------------------------------------------------------------

